Trek_Name,District,Difficulty,Height_m,Best_Season,Historical_Significance,Description
"Lohagad","Pune","Easy",1033,"Monsoon","Captured by Shivaji Maharaj in 1648; used as a treasury by the Maratha Empire.","The iconic Vinchukata (Scorpion Tail) bastion extends over a sheer cliff edge during monsoon clouds. Well-paved steps and monsoon waterfalls make it the most popular fort trek near Pune."
"Machindragad","Satara","Moderate",950,"Oct-Feb","Named after the sage Machhindranath; a Maratha fort with spiritual significance in the Satara hills.","A moderate trek with a temple at the summit and panoramic views of the Satara plateau. The trail passes through rolling grasslands."
"Machnur Fort","Osmanabad","Easy",600,"Oct-Mar","A medieval fort with links to the Bahmani and later the Maratha campaigns in Marathwada.","A flat land fort with ruins of walls and gateways spread across a hilltop. Easy to explore in the dry Marathwada landscape."
"Madangad Fort","Raigad","Moderate",700,"Oct-Feb","A Maratha defense fort near Mahad used for control of the Savitri River valley routes.","A moderate forest trek to a hilltop with cisterns and partial fortification remnants. Nice views of the Raigad hinterland."
"Madh Fort","Mumbai","Easy",20,"Year-round","A Portuguese-built coastal fort near Madh Island used for defending the northern Bombay harbor.","A small fort ruin on the scenic Madh Island coast accessible via the fishing village. The crumbling walls against the sunset sea make for dramatic photography."
"Mahim Fort","Mumbai","Easy",5,"Year-round","Originally a Portuguese fort guarding the entrance to the Mahim creek in old Bombay.","A small ruined fort wall along the Mahim beach promenade in the heart of Mumbai. More a heritage landmark than a trek but historically significant."
"Mahimangad","Satara","Moderate",1050,"Oct-Feb","A Maratha fort near Mahabaleshwar protecting the plateau approaches from the south.","A moderate trek through lush forest of the Mahabaleshwar region to a fortified hilltop. The biodiversity and bird life along the trail are exceptional."
"Mahipalgad","Kolhapur","Moderate",900,"Oct-Feb","A Maratha hill fort near Radhanagari used for protecting the Kolhapur territory.","A pleasant moderate trek through green undulating hills to a summit fort. Views of the surrounding Western Ghat ranges and Radhanagari Dam."
"Mahipatgad","Satara","Moderate",1100,"Oct-Feb","A Maratha fort near the Koyna Valley used for controlling the ghat pass routes.","A moderate hike along a scenic ridge to a summit with walls and cisterns. The views into the deep Koyna River valley are dramatic."
"Mahuli","Thane","Hard",1340,"Oct-Feb","The highest peak in Thane district; a Maratha fort that fell to the British in 1818.","A demanding climb through steep forested slopes with rock scrambles near the summit. The highest point offers stunning 360-degree views of the Sahyadri."
"Mahur Fort","Nanded","Easy",700,"Year-round","An ancient pilgrimage site with Renuka Mata temple dating to pre-Maratha periods.","A hilltop fort complex surrounding the sacred Renuka Devi temple. Easy stairway access with views of the surrounding Vidarbha countryside."
"Mailagad Fort","Buldhana","Easy",500,"Oct-Mar","A small Vidarbha fort associated with the Sultanate and later Maratha administrative control.","A low hill fort with old walls and gateways amidst the dry Buldhana landscape. A quick and easy exploration for regional fort enthusiasts.""Makrandgad","Raigad","Moderate",800,"Oct-Feb","A Maratha hill fort near Mahad used for defense of the central Konkan region.","A moderate trek through deciduous forest to a hilltop with partial fort ruins. Views of the surrounding Raigad hills and valleys."
"Malanggad","Thane","Moderate",850,"Oct-Feb","An ancient fort with a revered Sufi dargah and Hindu temple at the summit.","A popular trek from Kalyan through forested slopes to a summit shared by two faiths. The harmonious coexistence of the dargah and temple makes it spiritually unique."
"Malegaon fort","Nashik","Easy",550,"Oct-Mar","A Mughal-era fortification in Malegaon controlling the Girna River valley trade.","A land fort within the town with old walls and gateways reflecting Mughal architecture. Easy to walk and historically significant for the Khandesh region."
"Malhargad/Sonori Fort","Pune","Easy",900,"Year-round","The last fort built during the Maratha Empire period by the Peshwas in the 18th century.","A gentle climb near Saswad village with well-preserved walls and gateways. The last-built Maratha fort offers panoramic views of the Pune countryside."
"Manaranjan Fort","Raigad","Moderate",820,"Oct-Feb","One of the twin forts of Rajmachi along with Shrivardhan; important for the Bor Ghat defense.","A moderate climb within the Rajmachi Fort complex offering sweeping monsoon views. The bastion walls and old iron cannons are well preserved."
"Mandangad fort","Ratnagiri","Easy",300,"Oct-Mar","A minor Konkan fort near Mandangad town used by the Marathas for coastal control.","An easy climb through coastal hills to a modest summit with partial ruins. Good for combining with a visit to nearby Dapoli beaches."
"Mangad Fort","Kolhapur","Moderate",700,"Oct-Feb","A Maratha fort near Panhala supporting the southern defense network.","A moderate trek through green rolling terrain to a compact hilltop fort. Views toward Panhala and the Kolhapur valley."
"Mangalgad/Kangori fort","Raigad","Moderate",800,"Oct-Feb","A Maratha fort near Mangaon used for controlling routes to the Konkan coast.","A moderate forest trek with gentle gradients to a fortified summit plateau. The monsoon greenery along the trail is exceptional."
"Mangi-Tungi","Nashik","Hard",1300,"Oct-Feb","Twin peaks sacred to Jains; believed to be where ancient Jain saints attained salvation.","A challenging climb with over 4000 carved steps leading to twin pinnacle peaks. The ancient Jain carvings and sculptures along the route are breathtaking."
"Manikgad","Chandrapur","Easy",350,"Oct-Mar","A Gond kingdom fort in Vidarbha later controlled by the Mughal administration.","A land fort in the Chandrapur region with thick walls amid dense Vidarbha forest. Easy exploration with interesting medieval architecture."
"Manikgad","Raigad","Hard",900,"Oct-Feb","A Maratha hill fort near Roha used for defense of the central Konkan highlands.","A tough climb through dense forest and rocky terrain to an isolated summit. The wilderness setting makes it ideal for adventurous trekkers."
"Manjarsubha Fort","Raigad","Hard",850,"Oct-Feb","A remote Maratha fort in the hills near Khalapur guarding the Bor Ghat passes.","A strenuous trek through thick forest with rocky scrambles near the summit. The solitude and untouched nature make it highly rewarding."
"Mankigad fort","Ratnagiri","Moderate",500,"Oct-Feb","A Maratha hill fort in the Ratnagiri hinterland used for guarding the coastal routes.","A moderate climb through laterite and scrub terrain to a hilltop with fort remnants. Konkan coastal views on clear days."
"Manohargad-Mansantoshgad","Raigad","Moderate",750,"Oct-Feb","Twin Maratha forts used in conjunction for defense of the Raigad hinterland.","A moderate ridge trek connecting two small forts with pleasant valley scenery. The twin summit experience adds variety to this trek."
"Markanda Fort","Kolhapur","Easy",600,"Oct-Feb","A small fort near Kolhapur with an ancient Markandeshwar temple.","An easy climb to a hilltop temple-fort with views of the Kolhapur plateau. The temple adds spiritual significance to the heritage walk."
"Mazagon Fort","Mumbai","Easy",10,"Year-round","A Portuguese-built fort on Mazagon Hill that once guarded the eastern harbor of Bombay.","A small urban fort ruin within the Mumbai dockyard area with limited access. One of the oldest colonial structures in the city."
"Metghar Fort","Nashik","Moderate",800,"Oct-Feb","A Maratha outpost fort in the Nashik hills used for communication signaling.","A moderate climb through dry scrubland to a compact summit with cistern remnants. Views of the surrounding Nashik ranges."
"Mohandar fort/Shidka fort","Nashik","Moderate",900,"Oct-Feb","A Maratha fort near Igatpuri used as part of the northern ghat defense chain.","A moderate forest trek to a ridge summit with partial wall remnants. The Igatpuri valley views from the top are scenic."
"Mohangad","Satara","Moderate",1000,"Oct-Feb","A Maratha fort in the Satara range used for territorial defense.","A moderate climb through grassland and sparse forest to a fortified hilltop. Peaceful views of the surrounding agricultural countryside."
"Mora fort","Raigad","Easy",100,"Oct-Mar","A small Maratha coastal fort near Mora village guarding the Dharamtar creek.","A low coastal fort with sea-facing walls near the Alibag ferry route. Easy access and suitable for a quick historical stop."
"Morgiri Fort","Pune","Moderate",900,"Oct-Feb","A Maratha fort near Bhimashankar used for guarding the sacred temple approach.","A moderate trek through dense Western Ghat forest to a hilltop with partial ruins. The biodiversity-rich trail is as appealing as the fort itself."
"Mrugagad","Satara","Easy",800,"Oct-Feb","A small Maratha fort near Satara named after the deer that frequented the area.","An easy hilltop trek with gentle slopes and grassy summit with cisterns. A quiet and peaceful trek near Satara city."
"Mulher","Nashik","Hard",1370,"Oct-Feb","One of the highest forts in the Sahyadri; site of the 1672 Battle of Salher-Mulher.","A challenging climb with steep rock sections and a massive fort complex sprawling across a ridge. The views of Salher and the northern Sahyadri range are magnificent."
"Naldurg Fort","Osmanabad","Easy",498,"Oct-Mar","Famous for its massive dam wall and waterfall within the fort; one of the largest forts in Maharashtra.","A sprawling land fort with an impressive fortified dam that creates a waterfall during monsoon. The massive ramparts and moat make it an architectural wonder."
"Nanded fort","Nanded","Easy",350,"Year-round","A Mughal-era fort in the city of Nanded on the banks of the Godavari River.","A land fort within the temple city with old walls and a riverside setting. Easy to explore as part of a Nanded pilgrimage trip."
"Nandoshi fort","Raigad","Moderate",750,"Oct-Feb","A Maratha fort near Mangaon used for regional military operations.","A moderate hike through forest and scrubland to a compact summit with ruins. The peaceful setting and valley views make it worthwhile."
"Narayangad","Pune","Moderate",1000,"Oct-Feb","A Maratha fort near Junnar with a temple dedicated to Lord Narayana at the summit.","A moderate climb through dry terrain to a spacious summit with old walls and a living temple. Views of the Kukdi River and surrounding forts add context."
"Narnala","Amravati","Moderate",900,"Oct-Feb","One of the largest and most impressive forts in Vidarbha dating to the Gond and Bahmani periods.","A massive fort complex spread across three connected hills with spectacular architecture. The approach through the Narnala Wildlife Sanctuary adds to the experience."
"Narsimhagad","Pune","Moderate",850,"Oct-Feb","A Maratha fort near Junnar associated with the legend of Lord Narasimha.","A moderate trek to a hilltop with temple ruins and carved cisterns. The Junnar valley panorama from the summit is expansive."
"Nhavigad","Raigad","Moderate",700,"Oct-Feb","A Maratha hill fort near Panvel used for monitoring trade routes.","A moderate forest trek to a compact summit with old walls and water tanks. Good monsoon trekking option near Mumbai."
"Nimgiri-Hanumantgad fort","Ahmednagar","Moderate",950,"Oct-Feb","Twin Maratha forts near the Pravara River used for defense of the Ahmednagar frontier.","A moderate ridge walk connecting two small forts with views of the Ahmednagar plains. The twin-fort experience offers double the historical exploration."
"Nivati fort","Sindhudurg","Easy",100,"Oct-Mar","A coastal fort near Nivati beach built by the Marathas for guarding the southernmost Konkan coast.","A small seaside fort near one of Maharashtra's most pristine beaches. Easy and scenic exploration with turquoise sea views."
"Pabargad","Pune","Moderate",900,"Oct-Feb","A Maratha fort near Junnar providing defense for the northern Pune region.","A moderate hike through dry terrain to a compact summit with cisterns and wall fragments. The Junnar plateau views are expansive."
"Padargad","Raigad","Moderate",700,"Oct-Feb","A Maratha fort near Karjat guarding the approaches to the Bor Ghat pass.","A moderate climb through mixed forest to a hilltop with ruins. A quiet and peaceful trek option near Karjat."
"Padmadurg","Raigad","Easy",0,"Oct-Mar","A sea fort built by Shivaji Maharaj near Rajpuri creek to counter Janjira's Siddhi rulers.","An island fort accessible by boat with surviving walls and bastions on the water. Views of the Janjira fort from Padmadurg add dramatic historical context."
"Padmdurang fort","Kolhapur","Moderate",800,"Oct-Feb","A Maratha fort in the Kolhapur hills with a temple at its summit.","A moderate forest trek to a hilltop temple-fort with lush Western Ghat vegetation. The ridge views of the Kolhapur countryside are scenic."
"Palashi Fort","Ratnagiri","Easy",200,"Oct-Mar","A minor Konkan fort used by the Marathas for coastal trade route protection.","A small coastal fort ruin with an easy approach through palm-fringed terrain. pleasant sea views from the top of the bastions."
"Palgad","Raigad","Moderate",850,"Oct-Feb","A Maratha fort near Sudhagad guarding the approach from the Konkan plains.","A moderate trek through dense forest to a summit with cisterns and partial walls. The monsoon trail is especially stunning."
"Pandavgad","Satara","Moderate",1050,"Oct-Feb","A fort near Wai believed to be linked to the Pandavas of the Mahabharata legend.","A moderate hike through pleasant hilly terrain to a broad summit plateau. The mythological connection and Krishna Valley views add charm."
"Panhala Fort","Kolhapur","Easy",1050,"Year-round","Shivaji Maharaj's famous escape from Siddi Johar's siege in 1660 originated from this massive fort.","One of the largest forts in the Deccan with massive walls stretching over three connected hills. Easily accessible by road with well-preserved granaries, tunnels, and gateways."
"Paranda Fort","Osmanabad","Easy",600,"Oct-Mar","A remarkable Bahmani-era fort with one of the finest examples of medieval military engineering.","A massive land fort with concentric walls, wide moats, and cannons still mounted on bastions. The architectural grandeur rivals any fort in the Deccan."
"Pargadh","Kolhapur","Moderate",900,"Oct-Feb","A Maratha fort near Gaganbawda protecting the southernmost territory of Swarajya.","A moderate trek through lush southern Western Ghat terrain to a well-preserved fort. The summit offers sweeping views toward the Konkan coast."
"Parola Fort","Jalgaon","Easy",350,"Oct-Mar","A Faruqi dynasty fort in the Khandesh region later controlled by the Marathas.","A land fort with old gateways and walls within Parola town. Easy and flat exploration with some well-preserved medieval stonework."
"Patta Fort","Raigad","Hard",1150,"Oct-Feb","A Maratha fort near Karjat with one of the steepest approaches in the Sahyadri.","A demanding climb with near-vertical rock sections and exposed traverses. The summit views across the Konkan plains are spectacular."
"Pavangad","Nashik","Moderate",850,"Oct-Feb","A Maratha fort in the Nashik range used for territorial defense and signaling.","A moderate trek through dry scrubland to a compact summit with old fortifications. Views of the surrounding valley and hill ranges."
"Pemgiri Fort/Shahagad","Aurangabad","Easy",550,"Oct-Mar","A Mughal-era fortification in the Aurangabad region later used by the Marathas.","A land fort with thick walls and bastions on a low hilltop. Easy to explore with views of the dry Marathwada plateau."
"Pimpalgaon Raja Fort","Buldhana","Easy",500,"Oct-Mar","A medieval fort in the Vidarbha region associated with Sultanate-era administration.","A low plateau fort with remnants of walls and gateways amidst agricultural land. Quick and easy to explore."
"Pimpaldoh Fort","Buldhana","Easy",500,"Oct-Mar","A minor Vidarbha fort used by various Deccan rulers for regional control.","A small fort ruin on a low hill with partial walls and cisterns. Easy access through flat Buldhana terrain."
"Pisola fort","Raigad","Moderate",600,"Oct-Feb","A small Maratha fort near Pen used for surveillance of the coastal plains.","A moderate hike through laterite hills to a compact summit with ruins. Good views of the Pen countryside and distant coastline."
"Prabalgad","Raigad","Hard",1100,"Oct-Feb","Also known as Muranjan; Shivaji Maharaj renamed it Prabalgad after its capture.","A steep trek through exposed terrain to a broad summit plateau near the famous Kalavantin pinnacle. The views of Matheran and the Konkan coastline are breathtaking."
"Prachitgad","Sindhudurg","Moderate",900,"Oct-Feb","A Maratha fort in southern Konkan protecting the Sawantwadi territory.","A moderate trek through lush evergreen forest to a well-preserved fort summit. The biodiversity-rich trail feels like a nature walk combined with history."
"Pratapgad","Satara","Easy",1080,"Year-round","The legendary fort where Shivaji Maharaj killed Afzal Khan in 1659 during a historic encounter.","A magnificent fort accessible by road with a grand statue of Shivaji Maharaj at the entrance. The historically charged atmosphere and panoramic valleys make it unforgettable."
"Purandar fort","Pune","Moderate",1387,"Oct-Feb","Birthplace of Sambhaji Maharaj and site of the Treaty of Purandar with the Mughals in 1665.","A large twin fort complex with Purandar and Vajragad connected by a saddle ridge. The views from the summit stretch across the entire Pune district."
"Purnagad","Ratnagiri","Easy",100,"Oct-Mar","A small Maratha coastal fort near Ratnagiri town guarding the harbor approach.","A low coastal fort with bastions overlooking the sea and a small fishing harbor. Easy and quick to explore right off the Konkan highway."
"Raigad Fort","Raigad","Moderate",820,"Year-round","The capital of the Maratha Empire where Shivaji Maharaj was crowned Chhatrapati in 1674.","Maharashtra's most historically significant fort with the grand Rajya-abhishek site and ropeway access. The massive fortification walls and sweeping Konkan views embody Maratha glory."
"Raireshwar","Satara","Easy",1300,"Year-round","The sacred fort where young Shivaji Maharaj and his companions took the oath of Swarajya.","A beautiful plateau fort accessible by vehicle with lush green grass and a temple. The spiritual significance and stunning valley views make it pilgrimage-worthy."
"Rajgad Fort","Pune","Hard",1395,"Oct-Feb","The first capital of the Maratha Empire under Shivaji Maharaj for over 26 years.","A massive fort spread across three machis requiring a full day to explore all sections. The Sanjivani Machi cliff edge and Padmavati temple are awe-inspiring."
"Rajdher fort","Nashik","Moderate",850,"Oct-Feb","A Maratha frontier fort in northern Maharashtra near the Gujarat border.","A moderate trek through dry terrain to a hilltop with fort remains and cisterns. Views of the northern Sahyadri plains."
"Ramshej fort","Nashik","Moderate",800,"Oct-Feb","Famous for resisting Aurangzeb's siege for six years through Maratha guerrilla tactics.","A moderate climb to a tabletop fort with well-preserved walls and a living temple. The flat summit offers superb views of Nashik city."
"Ramtek","Nagpur","Easy",350,"Year-round","An ancient pilgrimage site associated with Lord Rama; fortified during medieval times.","A hilltop temple complex with fortified walls surrounded by the scenic Ramtek lake. Easy stairway access makes it ideal for all ages."
"Rangana Fort","Kolhapur","Hard",1050,"Oct-Feb","A formidable Maratha fort near Gaganbawda considered nearly impregnable.","A strenuous climb with steep rock sections through dense forest to a narrow summit. The knife-edge ridges and sheer drops make it thrillingly adventurous."
"Rasalgad","Ratnagiri","Moderate",900,"Oct-Feb","A Maratha hill fort in the Konkan hinterland protecting southern coastal routes.","A moderate trek through laterite terrain and forest to a broad summit. The views of the Konkan landscape are sweeping."
"Ratandurg fort","Ratnagiri","Easy",100,"Oct-Mar","A coastal Maratha fort near Bhatye beach guarding the Ratnagiri harbor approach.","A small headland fort with ocean views and a lighthouse nearby. Easy access makes it a perfect beach-day heritage stop."
"Ratangad","Ahmednagar","Hard",1297,"Oct-Feb","A Maratha fort near Bhandardara famous for its needle-hole (Nedhe) rock formation.","A demanding forest trek with rock scrambles to a summit featuring the iconic natural rock arch. The views of Bhandardara dam and surrounding peaks are magnificent."
"Ratnagiri","Ratnagiri","Easy",200,"Oct-Mar","A Maratha coastal fort overlooking the town of Ratnagiri and the Arabian Sea.","A hilltop fort within Ratnagiri town with lighthouse views over the ocean. Easy to access with pleasant coastal scenery."
"Ravlya Fort","Satara","Moderate",800,"Oct-Feb","A Maratha defense fort in the Satara hills near the Koyna Valley.","A moderate trek through rolling farmland to a hilltop with fort remnants. Pleasant views of the surrounding countryside."
"Revdanda fort","Raigad","Easy",50,"Oct-Mar","A large Portuguese-built fort near Chaul with impressive gateways and bastions.","A well-preserved coastal fort with massive Portuguese gates and church ruins inside the walls. Easy to explore on foot with a rich blend of European and Indian architecture."
"Riwa Fort","Raigad","Moderate",750,"Oct-Feb","A Maratha fort near Roha guarding the inland routes of the central Konkan.","A moderate forest hike to a hilltop with cisterns and wall remnants. Quiet and rarely visited."
"Rohida fort","Satara","Moderate",1050,"Oct-Feb","Called the 'Vichitragad' for its unusual fortifications; captured by Shivaji Maharaj from the Adilshahi.","A scenic trek through the Satara highlands to a well-fortified summit with unique architectural features. The double-wall construction and elaborate gates are impressive."
"Sagargad","Raigad","Easy",500,"Year-round","A small Maratha hill fort near Alibag popular for monsoon day treks.","A quick green hike through forest and meadows to a summit with basic ruins. The proximity to Mumbai makes it a favorite beginner trek."
"Sajjangad","Satara","Easy",914,"Year-round","The samadhi (memorial) of Sant Ramdas Swami — Shivaji Maharaj's spiritual guru.","A well-maintained fort-temple complex accessible by paved steps with the saint's sacred tomb at top. The spiritual atmosphere and valley views make it deeply moving."
"Sakharkherda Fort","Buldhana","Easy",500,"Oct-Mar","Site of the Battle of Sakharkherda (1724) in the Mughal-Maratha wars.","A low land fort with historical significance set amidst the Buldhana agricultural belt. Easy to walk through with remnants of old walls."
"Sakshigad","Sindhudurg","Moderate",600,"Oct-Feb","A small Maratha fort near Sawantwadi used for defense of the southern Konkan territory.","A moderate trek through cashew and mango plantations to a hilltop with partial ruins. Tropical southern Konkan scenery."
"Salher","Nashik","Hard",1567,"Oct-Feb","The highest fort in Maharashtra and site of the pivotal 1672 Battle of Salher against the Mughals.","A challenging climb to the highest fort plateau in the Sahyadri with massive walls and bastions. The panoramic summit views of the Baglan range are simply unrivaled."
"Salota fort","Nashik","Hard",1300,"Oct-Feb","A Maratha fort near Salher forming part of the northern Sahyadri defense line.","A demanding climb with steep rock sections through dry northeast Sahyadri terrain. The isolated summit has ruins and sweeping views toward Salher."
"Samangad","Kolhapur","Easy",800,"Oct-Feb","Site of the murder of Sambhaji Maharaj's commander Rajaram Pandit; historically poignant.","A moderate climb to a hilltop fort with religious shrines and panoramic Kolhapur views. The trail passes through pleasant farmland."
"Sangram Durg","Satara","Moderate",900,"Oct-Feb","A Maratha fort near Satara that witnessed several battles during the Anglo-Maratha wars.","A moderate forest trek to a hilltop with partial wall remains and carved cisterns. The Satara valley panorama is expansive."
"Santoshgad","Ratnagiri","Easy",300,"Oct-Mar","A minor Maratha coastal fort used for watching the southern Konkan waters.","A short easy climb to a hilltop with sea views and partial fort ruins. Ideal for a quick stop along the Konkan coast."
"Sarasgad","Raigad","Easy",500,"Oct-Feb","A Maratha fort near Pen that was part of the Raigad defense network.","An easy to moderate climb through farmland to a small summit with fort remnants. Views of the Pen countryside and surrounding hills."
"Sarjekot fort","Kolhapur","Moderate",800,"Oct-Feb","A Maratha fort near Radhanagari protecting the southern border of Kolhapur territory.","A moderate trek through green hills to a fortified summit with old walls. Views of the Radhanagari dam and surrounding forest."
"Sewri Fort","Mumbai","Easy",10,"Year-round","A Portuguese fort built to guard the eastern entrance to Bombay harbor.","A small fort ruin in the industrial Sewri area of Mumbai with limited remains. Known more today for flamingo sightings at the nearby mudflats."
"Shaniwar Wada","Pune","Easy",560,"Year-round","The massive fortified palace of the Peshwas of the Maratha Empire built in 1732.","A grand urban fortress-palace with a towering entrance gate and the famous thorn-spiked doors. The evening light show brings alive the dramatic Peshwa history."
"Shirgaon Fort","Palghar","Easy",30,"Oct-Mar","A small Portuguese-era coastal fort near Shirgaon beach in the Palghar coast.","A quick walkable coastal fort with surviving walls and sea-facing bastions. Ideal for combining with a beach visit."
"Shivgad","Kolhapur","Moderate",850,"Oct-Feb","A Maratha fort near Kolhapur used for protecting the southern Swarajya territory.","A moderate trek through green rolling hills to a compact summit. The pastoral Kolhapur landscape is visible all around."
"Shivneri","Pune","Easy",1050,"Year-round","The birthplace of Chhatrapati Shivaji Maharaj in 1630; a pilgrimage for every Maharashtrian.","A well-maintained fort with paved steps and the sacred birth chamber of Shivaji Maharaj. The massive gates and views of the Junnar valley are inspiring."
"Shrivardhan Fort","Raigad","Moderate",820,"Oct-Feb","One of the twin forts of Rajmachi along with Manaranjan; key to the Bor Ghat defense.","A moderate climb within the Rajmachi complex to a summit with sweeping monsoon valley views. Well-preserved bastions and old cannons dot the fortification."
"Siddhagad","Nashik","Moderate",900,"Oct-Feb","A Maratha fort near Igatpuri associated with a siddha (saint) legend.","A moderate forest trek to a hilltop with a small temple and fort remnants. The lush green Igatpuri valley is visible below."
"Sindhudurg Fort","Sindhudurg","Easy",0,"Year-round","A magnificent sea fort built by Shivaji Maharaj in 1664; the district is named after it.","An island fortress accessible by boat with walls seemingly rising from the sea itself. The Shivaji handprint and footprint impressions in the temple are deeply revered."
"Saurabh Fort","Raigad","Moderate",700,"Oct-Feb","A small Maratha hill fort near Alibag in the Raigad defense network.","A moderate trek through coastal hills to a compact hilltop with ruins. Views of the Alibag coast and surrounding hills."
"Sinhagad","Pune","Easy",1312,"Year-round","Tanaji Malusare's legendary night assault in 1670 is immortalized in the Battle of Sinhagad.","One of the most visited forts near Pune with a paved road to the top and famous local cuisine. The dramatic cliff faces and valley views make it eternally popular."
"Sion Hillock Fort","Mumbai","Easy",30,"Year-round","A small Portuguese-era fort in the Sion area built to defend the Bombay island.","A tiny urban fort ruin now surrounded by the dense Sion neighborhood. More historical curiosity than a trek but significant for Mumbai heritage."
"Sitabuldi Fort","Nagpur","Easy",310,"Year-round","Site of the 1817 Battle of Sitabuldi during the Third Anglo-Maratha War.","A hilltop fort within Nagpur city now managed by the Indian Army. The memorial column and panoramic city views make it a quick heritage visit."
"Solapur Fort","Solapur","Easy",460,"Oct-Mar","A historical fort in Solapur city used by various Deccan rulers including the Adilshahis.","A large land fort with massive walls and a moat still partially filled with water. Easy to walk and explore within the city center."
"Sondai fort","Thane","Moderate",900,"Oct-Feb","A Maratha fort near Murbad guarding the approach from the Konkan coast.","A moderate forest trek to a hilltop with partial ruins and carved cisterns. Nice monsoon views of the Thane Western Ghat foothills."
"Songir","Nashik","Easy",700,"Oct-Feb","A Yadava dynasty fort near Nashik later used by the Mughals and Marathas.","An easy climb to a flat summit with old walls and a commanding view. A quick trek accessible from Nashik city."
"Songiri","Dhule","Easy",650,"Oct-Mar","A Faruqi dynasty fort in the Khandesh region with medieval architecture.","A low hill fort with old gateways and walls amid dry north Maharashtra landscape. Easy to explore with minimal climbing involved."
"Sudhagad","Raigad","Moderate",620,"Oct-Feb","Also called Bhorapgad; Shivaji Maharaj renamed it Sudhagad after his capture.","A moderate forest trek to a spacious summit with well-preserved walls and the Bhorai Devi temple. The massive iron-spiked gates and valley views are impressive."
"Sumargad","Kolhapur","Moderate",800,"Oct-Feb","A Maratha fort near Radhanagari used for southern defense operations.","A moderate trek through green Kolhapur hills to a summit with partial ruins. Views of the surrounding Western Ghat foothills."
"Surgad","Raigad","Moderate",700,"Oct-Feb","A small Maratha hill fort near Murud used for regional defense.","A moderate trek through coastal hills to a hilltop with partial fort remains. Views of the Murud coast."
"Suvarnadurg","Ratnagiri","Easy",0,"Oct-Mar","A sea fort built by the Marathas near Harnai beach to protect the Ratnagiri coast.","A magnificent island fort accessible by boat with cannon-mounted bastions and impressive walls. The boat ride from Harnai and the fort's naval history are captivating."
"Tailbaila fort","Raigad","Very Hard",1100,"Oct-Feb","A sheer rock pinnacle fort in the Matheran range known for extreme rock climbing.","One of the most difficult pinnacle climbs in the Sahyadri with vertical rock walls requiring technical gear. The tiny summit is reached after a heart-pounding exposed scramble."
"Takmak fort","Satara","Hard",1050,"Oct-Feb","A Maratha outpost pinnacle near Rajgad used for signaling and surveillance.","A short but very steep climb to a narrow pinnacle summit near Rajgad. The views of Rajgad's three machis from this vantage are unmatched."
"Talagad","Raigad","Moderate",650,"Oct-Feb","A minor Maratha fort near Khalapur used for monitoring the Bor Ghat region.","A moderate forest trek to a compact hilltop with ruins and cisterns. A quiet trek near the popular Karjat area."
"Tandulwadi fort","Sindhudurg","Easy",300,"Oct-Mar","A Maratha coastal fort near Malvan built for the defense of the Konkan shoreline.","A scenic hilltop fort near the beach with views of the Arabian Sea. Easy access and great for combining with a Tarkarli beach trip."
"Tankai fort","Nashik","Moderate",920,"Oct-Feb","A twin fort with Ankai forming a strategic pair in the Yadava defense system.","Connected to Ankai by a ridge with ancient Buddhist caves and rock-cut architecture. The twin-fort traverse is a unique Sahyadri experience."
"Tarapur fort","Palghar","Easy",30,"Oct-Mar","Site of the Battle of Tarapur where the Portuguese were defeated by local forces in 1739.","A coastal fort ruin near the Tarapur nuclear facility area with historical significance. Easy access with sea-facing walls."
"Terekhol Fort","Sindhudurg","Easy",50,"Oct-Mar","A Maratha fort on the Maharashtra-Goa border overlooking Terekhol River estuary.","A beautiful fort overlooking the Goa border with sweeping sea and river views. Now converted into a heritage hotel making it uniquely accessible."
"Thalner","Dhule","Easy",600,"Oct-Mar","A major Faruqi dynasty capital fort in the Khandesh region with massive walls.","A sprawling land fort with impressive gateways and fortification walls. Easy to explore with historical importance for north Maharashtra."
"Tikona","Pune","Moderate",1066,"Oct-Feb","A Maratha hill fort near Pawna Lake named for its triangular shape (Vitandgad).","A pleasant trek with well-carved steps leading to the triangular summit plateau. Pawna Lake views and the Trimbakeshwar temple at top make it memorable."
"Tipagad","Gadchiroli","Easy",300,"Oct-Mar","A small fort in the dense forests of Vidarbha near the Godavari River.","A tribal region fort surrounded by dense Gadchiroli forest with minimal ruins. Easy access but remote requiring planning."
"Torna Fort","Pune","Hard",1403,"Oct-Feb","The first fort captured by Shivaji Maharaj at age 16 in 1643 — the beginning of Swarajya.","A steep demanding climb rewarded by the massive summit plateau of the tallest fort near Pune. The historical significance of the first Swarajya fort fills every stone with meaning."
"Tringalwadi","Nashik","Moderate",900,"Oct-Feb","A Maratha fort near Igatpuri known for its ancient rock-carved Buddhist stupa.","A moderate trek through forest to a compact summit with an ornate carved monolithic stupa. The Buddhist rock art and green valley views are exceptional."
"Trymbakgad","Nashik","Moderate",1100,"Oct-Feb","A fort near the sacred Trimbakeshwar temple guarding the Godavari River source.","A moderate climb near one of the twelve Jyotirlingas with extensive fortification walls. The spiritual and natural significance of the Brahmagiri range surrounds it."
"Tung Fort","Pune","Moderate",1075,"Oct-Feb","A Maratha watchtower fort near Pawna Lake offering strategic views in all directions.","A moderate rocky climb with dramatic summit views over Pawna Lake and surrounding forts. The exposed rocky terrain and compact summit make it exciting."
